Time	Heart Rate
13:29:32	113
13:29:37	112
13:29:42	113
13:29:47	112
13:29:52	111
13:29:57	111
13:30:02	112
13:30:07	109
13:30:12	108
13:30:17	107
13:30:22	107
13:30:27	106
13:30:32	108
13:30:37	109
13:30:47	107
13:30:52	105
13:31:07	104
13:31:17	101
13:31:22	99
13:31:27	98
13:31:42	98
13:31:57	98
13:32:02	98
13:32:09	97
13:32:24	97
13:32:34	98
13:32:39	95
13:32:44	91
13:32:49	90
13:33:04	90
13:33:14	89
13:33:19	89
13:33:24	91
13:33:29	85
13:33:34	90
13:33:39	89
13:33:44	88
13:33:59	88
13:34:04	88
13:34:09	87
13:34:19	87
13:34:24	88
13:34:29	87
13:34:39	84
13:34:44	86
13:34:49	85
13:35:04	85
13:35:09	84
13:35:24	84
13:35:39	84
13:35:41	84
13:35:46	82
13:35:51	86
13:36:01	86
13:36:06	85
13:36:11	86
13:36:26	91
13:36:31	89
13:36:36	89
13:36:46	87
13:36:51	91
13:36:56	90
13:37:11	89
13:37:16	91
13:37:21	90
13:37:31	91
13:37:36	92
13:37:41	93
13:37:46	95
13:37:51	96
13:37:56	96
13:38:11	96
13:38:21	98
13:38:31	97
13:38:36	95
13:38:41	96
13:38:51	95
13:38:57	94
13:39:07	96
13:39:12	101
13:39:22	104
13:39:27	103
13:39:32	102
13:39:37	86
13:39:42	87
13:39:47	90
13:39:57	91
13:40:12	91
13:40:22	90
13:40:27	91
13:40:32	93
13:40:37	94
13:40:42	98
13:40:47	99
13:40:52	100
13:40:57	94
13:41:02	91
13:41:07	90
13:41:12	89
13:41:27	89
13:41:42	89
13:41:57	91
13:42:02	90
13:42:09	91
13:42:14	92
13:42:19	94
13:42:24	95
13:42:29	95
13:42:39	96
13:42:49	94
13:42:54	91
13:43:04	92
13:43:09	95
13:43:14	100
13:43:19	102
13:43:24	105
13:43:29	93
13:43:34	91
13:43:44	92
13:43:49	93
13:44:04	93
13:44:09	91
13:44:19	92
13:44:24	93
13:44:29	95
13:44:34	97
13:44:39	99
13:44:44	101
13:44:49	102
13:44:55	106
13:45:00	102
13:45:05	90
13:45:10	87
13:45:15	87
13:45:20	86
13:45:25	87
13:45:30	95
13:45:35	96
13:45:40	91
13:45:45	86
13:45:50	82
13:46:05	83
13:46:10	83
13:46:20	84
13:46:25	85
13:46:40	87
13:46:45	88
13:47:00	89
13:47:05	92
13:47:10	96
13:47:15	99
13:47:20	101
13:47:25	106
13:47:35	105
13:47:42	102
13:47:47	101
13:48:02	86
13:48:07	76
13:48:12	73
13:48:17	74
13:48:22	76
13:48:27	75
13:48:32	76
13:48:37	72
13:48:42	72
13:48:47	72
13:48:52	72
13:48:57	70
13:49:02	73
13:49:07	74
13:49:17	74
13:49:22	75
13:49:27	74
13:49:32	76
13:49:37	75
13:49:42	75
13:49:47	74
13:49:57	74
13:50:07	75
13:50:14	75
13:50:24	81
13:50:29	74
13:50:34	75
13:50:44	76
13:50:54	74
13:50:59	76
13:51:04	77
13:51:09	83
13:51:14	76
13:51:19	78
13:51:24	79
13:51:34	78
13:51:39	80
13:51:44	81
13:51:49	82
13:51:54	84
13:51:59	85
13:52:04	87
13:52:09	86
13:52:14	84
13:52:19	82
13:52:24	81
13:52:29	80
13:52:39	81
13:52:44	84
13:52:54	82
13:53:00	82
13:53:10	81
13:53:15	79
13:53:20	81
13:53:25	80
13:53:30	81
13:53:35	80
13:53:40	79
13:53:45	79
13:53:55	81
13:54:00	78
13:54:10	77
13:54:15	79
13:54:20	80
13:54:25	79
13:54:35	73
13:54:40	78
13:54:45	79
13:54:50	84
13:54:55	87
13:55:00	88
13:55:05	84
13:55:10	80
13:55:15	77
13:55:20	75
13:55:25	75
13:55:35	75
13:55:42	71
13:55:47	71
13:55:57	78
13:56:02	76
13:56:07	76
13:56:12	77
13:56:27	79
13:56:32	80
13:56:37	81
13:56:52	81
13:56:57	84
13:57:02	87
13:57:07	89
13:57:17	91
13:57:27	92
13:57:32	93
13:57:37	95
13:57:42	95
13:57:47	97
13:57:52	101
13:57:57	103
13:58:02	101
13:58:07	102
13:58:12	104
13:58:22	103
13:58:32	102
13:58:37	101
13:58:43	101
13:58:58	101
13:59:03	98
13:59:08	89
13:59:13	87
13:59:23	86
13:59:33	88
13:59:38	90
13:59:43	93
13:59:48	95
13:59:53	98
13:59:58	95
14:00:03	94
14:00:18	94
14:00:23	93
14:00:33	91
14:00:38	90
14:00:43	89
14:00:48	80
14:00:53	83
14:00:58	84
14:01:08	82
14:01:18	82
14:01:23	83
14:01:28	84
14:01:35	83
14:01:40	85
14:01:50	85
14:01:55	88
14:02:00	87
14:02:05	84
14:02:10	83
14:02:25	83
14:02:30	82
14:02:40	83
14:02:50	84
14:02:55	84
14:03:00	85
14:03:05	84
14:03:10	84
14:03:15	88
14:03:20	89
14:03:25	87
14:03:30	84
14:03:45	85
14:03:50	83
14:03:55	86
14:04:00	83
14:04:05	83
14:04:20	83
14:04:25	91
14:04:31	90
14:04:36	88
14:04:41	87
14:04:46	84
14:04:51	84
14:05:01	83
14:05:11	82
14:05:21	81
14:05:31	80
14:05:41	80
14:05:46	79
14:05:56	79
14:06:01	79
14:06:16	79
14:06:31	84
14:06:36	83
14:06:41	84
14:06:46	86
14:06:51	87
14:06:56	86
14:07:01	85
14:07:11	85
14:07:26	84
14:07:31	84
14:07:36	81
14:07:41	80
14:07:46	80
14:07:53	80
14:08:08	80
14:08:13	76
14:08:18	76
14:08:28	76
14:08:38	76
14:08:43	77
14:08:58	76
14:09:13	76
14:09:23	75
14:09:33	76
14:09:38	77
14:09:48	77
14:09:58	78
14:10:13	79
14:10:18	81
14:10:23	83
14:10:28	85
14:10:33	87
14:10:38	88
14:10:43	90
14:10:48	90
14:11:03	90
14:11:18	90
14:11:23	90
14:11:28	91
14:11:33	92
14:11:40	92
14:11:45	94
14:11:50	95
14:11:55	96
14:12:00	95
14:12:05	93
14:12:10	92
14:12:15	92
14:12:25	91
14:12:40	91
14:12:45	90
14:13:00	90
14:13:15	89
14:13:30	89
14:13:45	89
14:13:50	90
14:13:55	91
14:14:00	82
14:14:05	80
14:14:10	77
14:14:15	76
14:14:20	79
14:14:25	75
14:14:30	78
14:14:35	81
14:14:40	80
14:14:47	79
14:14:52	78
14:14:57	77
14:15:02	73
14:15:07	73
14:15:12	76
14:15:17	82
14:15:22	84
14:15:27	79
14:15:32	79
14:15:47	80
14:15:52	81
14:16:02	82
14:16:07	84
14:16:22	85
14:16:32	83
14:16:37	81
14:16:42	82
14:16:57	82
14:17:02	81
14:17:12	81
14:17:22	81
14:17:32	80
